,Estado,Cidade,Vacinados (1 Dose),População vacinada,Imunizados (Dose completas),População imunizada,População restante a vacinar
4658,Rio Grande do Sul,Caiçara,564,11.89 %,150,3.16 %,4.179
4659,Rio Grande do Sul,Camaquã,6875,10.38 %,2010,3.03 %,59.386
4660,Rio Grande do Sul,Camargo,416,15.22 %,88,3.22 %,2.317
4661,Rio Grande do Sul,Cambará do Sul,634,9.86 %,222,3.45 %,5.797
4662,Rio Grande do Sul,Campestre da Serra,333,9.83 %,78,2.30 %,3.055
4663,Rio Grande do Sul,Campina das Missões,818,14.94 %,177,3.23 %,4.656
4664,Rio Grande do Sul,Campinas do Sul,869,15.93 %,207,3.80 %,4.585
4665,Rio Grande do Sul,Campo Bom,5374,8.06 %,961,1.44 %,61.338
4666,Rio Grande do Sul,Campo Novo,509,11.35 %,141,3.14 %,3.975
4667,Rio Grande do Sul,Campos Borges,424,12.77 %,84,2.53 %,2.896
4668,Rio Grande do Sul,Candelária,3312,10.56 %,674,2.15 %,28.053
4669,Rio Grande do Sul,Cândido Godói,991,15.99 %,167,2.69 %,5.207
4670,Rio Grande do Sul,Candiota,854,8.91 %,254,2.65 %,8.730
4671,Rio Grande do Sul,Canela,3374,7.50 %,733,1.63 %,41.624
4672,Rio Grande do Sul,Canguçu,5301,9.46 %,1110,1.98 %,50.744
4673,Rio Grande do Sul,Canoas,31185,9.00 %,8497,2.45 %,315.431
4674,Rio Grande do Sul,Canudos do Vale,192,11.19 %,50,2.91 %,1.524
4675,Rio Grande do Sul,Capão Bonito do Sul,245,14.81 %,46,2.78 %,1.409
4676,Rio Grande do Sul,Capão da Canoa,3965,7.47 %,1205,2.27 %,49.084
4677,Rio Grande do Sul,Capão do Cipó,327,8.96 %,70,1.92 %,3.324
4678,Rio Grande do Sul,Capão do Leão,1100,4.34 %,425,1.68 %,24.254
4679,Rio Grande do Sul,Capivari do Sul,448,9.61 %,111,2.38 %,4.212
4680,Rio Grande do Sul,Capela de Santana,411,3.44 %,201,1.68 %,11.529
4681,Rio Grande do Sul,Capitão,347,12.59 %,84,3.05 %,2.410
4682,Rio Grande do Sul,Carazinho,7371,11.87 %,2035,3.28 %,54.739
4683,Rio Grande do Sul,Caraá,1349,16.31 %,283,3.42 %,6.921
4684,Rio Grande do Sul,Carlos Barbosa,2778,9.31 %,683,2.29 %,27.055
4685,Rio Grande do Sul,Carlos Gomes,179,13.00 %,51,3.70 %,1.198
4686,Rio Grande do Sul,Casca,1269,14.05 %,244,2.70 %,7.762
4687,Rio Grande do Sul,Caseiros,316,9.87 %,84,2.62 %,2.886
4688,Rio Grande do Sul,Catuípe,1301,14.83 %,276,3.15 %,7.473
4689,Rio Grande do Sul,Caxias do Sul,38211,7.48 %,13554,2.65 %,472.695
4690,Rio Grande do Sul,Centenário,446,15.43 %,84,2.91 %,2.445
4691,Rio Grande do Sul,Cerrito,832,13.66 %,157,2.58 %,5.259
4692,Rio Grande do Sul,Cerro Branco,526,11.21 %,119,2.54 %,4.165
4693,Rio Grande do Sul,Cerro Grande,233,10.08 %,63,2.73 %,2.078
4694,Rio Grande do Sul,Cerro Grande do Sul,427,3.49 %,203,1.66 %,11.812
4695,Rio Grande do Sul,Cerro Largo,1948,13.78 %,471,3.33 %,12.185
4696,Rio Grande do Sul,Chapada,1005,10.84 %,268,2.89 %,8.264
4697,Rio Grande do Sul,Charqueadas,2977,7.30 %,662,1.62 %,37.812
4698,Rio Grande do Sul,Charrua,1090,33.24 %,778,23.73 %,2.189
4699,Rio Grande do Sul,Chiapetta,586,15.60 %,134,3.57 %,3.170
4700,Rio Grande do Sul,Chuí,449,6.70 %,129,1.92 %,6.255
4701,Rio Grande do Sul,Chuvisca,377,6.93 %,72,1.32 %,5.064
4702,Rio Grande do Sul,Cidreira,1456,8.96 %,234,1.44 %,14.798
4703,Rio Grande do Sul,Ciríaco,470,9.90 %,138,2.91 %,4.277
4704,Rio Grande do Sul,Colinas,285,11.69 %,101,4.14 %,2.153
4705,Rio Grande do Sul,Colorado,656,20.66 %,105,3.31 %,2.519
4706,Rio Grande do Sul,Condor,685,10.14 %,162,2.40 %,6.068
4707,Rio Grande do Sul,Constantina,1503,15.16 %,410,4.14 %,8.408
4708,Rio Grande do Sul,Coqueiro Baixo,323,21.52 %,65,4.33 %,1.178
4709,Rio Grande do Sul,Coqueiros do Sul,303,13.14 %,85,3.69 %,2.003
4710,Rio Grande do Sul,Coronel Barros,475,18.86 %,91,3.61 %,2.044
4711,Rio Grande do Sul,Coronel Bicaco,467,6.38 %,95,1.30 %,6.858
4712,Rio Grande do Sul,Coronel Pilar,334,20.52 %,37,2.27 %,1.294
4713,Rio Grande do Sul,Cotiporã,578,15.00 %,156,4.05 %,3.275
4714,Rio Grande do Sul,Coxilha,279,10.12 %,68,2.47 %,2.477
4715,Rio Grande do Sul,Crissiumal,1834,13.64 %,407,3.03 %,11.614
4716,Rio Grande do Sul,Cristal,684,8.54 %,188,2.35 %,7.325
4717,Rio Grande do Sul,Cristal do Sul,356,12.50 %,57,2.00 %,2.491
4718,Rio Grande do Sul,Cruz Alta,6729,11.16 %,1720,2.85 %,53.570
4719,Rio Grande do Sul,Cruzaltense,354,19.31 %,63,3.44 %,1.479
4720,Rio Grande do Sul,Cruzeiro do Sul,1510,12.23 %,257,2.08 %,10.838
4721,Rio Grande do Sul,David Canabarro,632,13.33 %,132,2.78 %,4.108
4722,Rio Grande do Sul,Derrubadas,380,13.55 %,46,1.64 %,2.425
4723,Rio Grande do Sul,Dezesseis de Novembro,437,18.01 %,67,2.76 %,1.990
4724,Rio Grande do Sul,Dilermando de Aguiar,461,15.30 %,98,3.25 %,2.553
4725,Rio Grande do Sul,Dois Irmãos,2092,6.40 %,816,2.50 %,30.579
4726,Rio Grande do Sul,Dois Irmãos das Missões,269,13.28 %,62,3.06 %,1.757
4727,Rio Grande do Sul,Dois Lajeados,583,17.15 %,138,4.06 %,2.817
4728,Rio Grande do Sul,Dom Feliciano,1176,7.63 %,260,1.69 %,14.238
4729,Rio Grande do Sul,Dom Pedro de Alcântara,296,11.68 %,88,3.47 %,2.238
4730,Rio Grande do Sul,Dom Pedrito,4648,12.08 %,1023,2.66 %,33.813
4731,Rio Grande do Sul,Dona Francisca,448,14.73 %,120,3.95 %,2.593
4732,Rio Grande do Sul,Doutor Maurício Cardoso,708,15.56 %,165,3.63 %,3.841
4733,Rio Grande do Sul,Doutor Ricardo,324,16.34 %,76,3.83 %,1.659
4734,Rio Grande do Sul,Eldorado do Sul,1104,2.67 %,245,0.59 %,40.181
4735,Rio Grande do Sul,Encantado,2501,11.01 %,694,3.06 %,20.205
4736,Rio Grande do Sul,Encruzilhada do Sul,1557,6.02 %,515,1.99 %,24.320
4737,Rio Grande do Sul,Engenho Velho,375,36.27 %,230,22.24 %,659
4738,Rio Grande do Sul,Entre-Ijuís,1184,13.97 %,227,2.68 %,7.291
4739,Rio Grande do Sul,Entre Rios do Sul,564,20.20 %,110,3.94 %,2.228
4740,Rio Grande do Sul,Erebango,535,17.89 %,129,4.31 %,2.456
4741,Rio Grande do Sul,Erechim,11063,10.45 %,2826,2.67 %,94.799
4742,Rio Grande do Sul,Ernestina,297,9.38 %,92,2.90 %,2.871
4743,Rio Grande do Sul,Herval,875,12.83 %,124,1.82 %,5.946
4744,Rio Grande do Sul,Erval Grande,706,14.53 %,132,2.72 %,4.153
4745,Rio Grande do Sul,Erval Seco,481,6.96 %,166,2.40 %,6.431
4746,Rio Grande do Sul,Esmeralda,335,10.21 %,62,1.89 %,2.947
4747,Rio Grande do Sul,Esperança do Sul,354,12.10 %,97,3.32 %,2.572
4748,Rio Grande do Sul,Espumoso,1475,9.46 %,471,3.02 %,14.113
4749,Rio Grande do Sul,Estação,1061,17.81 %,177,2.97 %,4.897
4750,Rio Grande do Sul,Estância Velha,3538,7.07 %,1068,2.14 %,46.484
4751,Rio Grande do Sul,Esteio,5335,6.41 %,1469,1.77 %,77.867
4752,Rio Grande do Sul,Estrela,3944,11.56 %,1087,3.19 %,30.172
4753,Rio Grande do Sul,Estrela Velha,335,9.17 %,76,2.08 %,3.320
4754,Rio Grande do Sul,Eugênio de Castro,413,17.24 %,82,3.42 %,1.983
4755,Rio Grande do Sul,Fagundes Varela,390,14.28 %,85,3.11 %,2.341
4756,Rio Grande do Sul,Farroupilha,6637,9.18 %,1496,2.07 %,65.694
4757,Rio Grande do Sul,Faxinal do Soturno,1130,16.92 %,343,5.14 %,5.547
4758,Rio Grande do Sul,Faxinalzinho,285,12.31 %,59,2.55 %,2.030
4759,Rio Grande do Sul,Fazenda Vilanova,292,6.44 %,85,1.88 %,4.241
4760,Rio Grande do Sul,Feliz,1230,9.08 %,359,2.65 %,12.317
4761,Rio Grande do Sul,Flores da Cunha,2938,9.56 %,600,1.95 %,27.807
4762,Rio Grande do Sul,Floriano Peixoto,251,14.21 %,60,3.40 %,1.515
4763,Rio Grande do Sul,Fontoura Xavier,754,7.32 %,157,1.52 %,9.550
4764,Rio Grande do Sul,Formigueiro,1068,16.03 %,286,4.29 %,5.596
4765,Rio Grande do Sul,Forquetinha,351,14.55 %,78,3.23 %,2.061
4766,Rio Grande do Sul,Fortaleza dos Valos,819,18.96 %,192,4.44 %,3.501
4767,Rio Grande do Sul,Frederico Westphalen,3561,11.37 %,1188,3.79 %,27.752
4768,Rio Grande do Sul,Garibaldi,3847,10.97 %,856,2.44 %,31.223
4769,Rio Grande do Sul,Garruchos,345,11.80 %,84,2.87 %,2.579
4770,Rio Grande do Sul,Gaurama,847,15.31 %,199,3.60 %,4.687
4771,Rio Grande do Sul,General Câmara,892,10.64 %,230,2.74 %,7.493
4772,Rio Grande do Sul,Gentil,219,13.40 %,62,3.79 %,1.415
4773,Rio Grande do Sul,Getúlio Vargas,2347,14.48 %,529,3.26 %,13.865
4774,Rio Grande do Sul,Giruá,1954,12.21 %,488,3.05 %,14.050
4775,Rio Grande do Sul,Glorinha,804,9.93 %,300,3.70 %,7.294
4776,Rio Grande do Sul,Gramado,3649,10.07 %,1053,2.91 %,32.583
4777,Rio Grande do Sul,Gramado dos Loureiros,493,23.68 %,222,10.66 %,1.589
4778,Rio Grande do Sul,Gramado Xavier,267,6.17 %,56,1.29 %,4.058
4779,Rio Grande do Sul,Gravataí,21938,7.79 %,5953,2.11 %,259.581
4780,Rio Grande do Sul,Guabiju,343,22.82 %,85,5.66 %,1.160
4781,Rio Grande do Sul,Guaíba,4781,4.87 %,848,0.86 %,93.362
4782,Rio Grande do Sul,Guaporé,2294,8.92 %,573,2.23 %,23.433
4783,Rio Grande do Sul,Guarani das Missões,1039,13.79 %,338,4.48 %,6.498
4784,Rio Grande do Sul,Harmonia,707,14.53 %,174,3.58 %,4.159
4785,Rio Grande do Sul,Herveiras,247,8.18 %,37,1.23 %,2.771
4786,Rio Grande do Sul,Horizontina,2108,10.91 %,515,2.66 %,17.221
4787,Rio Grande do Sul,Hulha Negra,427,6.30 %,74,1.09 %,6.349
4788,Rio Grande do Sul,Humaitá,658,13.82 %,141,2.96 %,4.104
4789,Rio Grande do Sul,Ibarama,400,9.08 %,88,2.00 %,4.006
4790,Rio Grande do Sul,Ibiaçá,804,17.07 %,156,3.31 %,3.905
4791,Rio Grande do Sul,Ibiraiaras,1208,16.63 %,325,4.48 %,6.054
4792,Rio Grande do Sul,Ibirapuitã,504,12.56 %,91,2.27 %,3.509
4793,Rio Grande do Sul,Ibirubá,1793,8.81 %,554,2.72 %,18.557
4794,Rio Grande do Sul,Igrejinha,2768,7.50 %,813,2.20 %,34.131
4795,Rio Grande do Sul,Ijuí,10211,12.23 %,2622,3.14 %,73.264
4796,Rio Grande do Sul,Ilópolis,782,19.18 %,227,5.57 %,3.296
4797,Rio Grande do Sul,Imbé,1694,7.43 %,430,1.89 %,21.106
4798,Rio Grande do Sul,Imigrante,286,9.17 %,96,3.08 %,2.834
4799,Rio Grande do Sul,Independência,815,13.22 %,155,2.51 %,5.352
4800,Rio Grande do Sul,Inhacorá,237,10.65 %,52,2.34 %,1.989
4801,Rio Grande do Sul,Ipê,858,12.92 %,166,2.50 %,5.782
4802,Rio Grande do Sul,Ipiranga do Sul,291,15.40 %,72,3.81 %,1.598
4803,Rio Grande do Sul,Iraí,915,12.64 %,260,3.59 %,6.326
4804,Rio Grande do Sul,Itaara,592,10.77 %,119,2.16 %,4.907
4805,Rio Grande do Sul,Itacurubi,378,10.91 %,73,2.11 %,3.087
4806,Rio Grande do Sul,Itapuca,212,10.12 %,64,3.06 %,1.882
4807,Rio Grande do Sul,Itaqui,2760,7.34 %,692,1.84 %,34.860
4808,Rio Grande do Sul,Itati,424,17.53 %,148,6.12 %,1.995
4809,Rio Grande do Sul,Itatiba do Sul,385,11.58 %,89,2.68 %,2.939
4810,Rio Grande do Sul,Ivorá,291,15.24 %,81,4.24 %,1.619
4811,Rio Grande do Sul,Ivoti,1671,6.88 %,505,2.08 %,22.622
4812,Rio Grande do Sul,Jaboticaba,361,9.48 %,113,2.97 %,3.449
4813,Rio Grande do Sul,Jacuizinho,327,12.15 %,79,2.93 %,2.365
4814,Rio Grande do Sul,Jacutinga,609,17.10 %,150,4.21 %,2.952
4815,Rio Grande do Sul,Jaguarão,2754,10.32 %,644,2.41 %,23.926
4816,Rio Grande do Sul,Jaguari,2016,18.58 %,535,4.93 %,8.832
4817,Rio Grande do Sul,Jaquirana,448,12.06 %,88,2.37 %,3.268
4818,Rio Grande do Sul,Jari,431,12.30 %,64,1.83 %,3.072
4819,Rio Grande do Sul,Jóia,612,7.15 %,186,2.17 %,7.948
4820,Rio Grande do Sul,Júlio de Castilhos,2641,13.69 %,559,2.90 %,16.652
4821,Rio Grande do Sul,Lagoa Bonita do Sul,249,8.58 %,64,2.20 %,2.654
4822,Rio Grande do Sul,Lagoão,75,1.16 %,0,0.00 %,6.377
4823,Rio Grande do Sul,Lagoa dos Três Cantos,295,18.33 %,74,4.60 %,1.314
4824,Rio Grande do Sul,Lagoa Vermelha,2637,9.48 %,608,2.19 %,25.170
4825,Rio Grande do Sul,Lajeado,8757,10.42 %,2411,2.87 %,75.257
4826,Rio Grande do Sul,Lajeado do Bugre,207,8.07 %,43,1.68 %,2.357
4827,Rio Grande do Sul,Lavras do Sul,831,11.11 %,194,2.59 %,6.649
4828,Rio Grande do Sul,Liberato Salzano,727,13.93 %,231,4.43 %,4.492
4829,Rio Grande do Sul,Lindolfo Collor,193,3.19 %,69,1.14 %,5.861
4830,Rio Grande do Sul,Linha Nova,169,9.86 %,60,3.50 %,1.545
4831,Rio Grande do Sul,Machadinho,496,9.11 %,119,2.19 %,4.949
4832,Rio Grande do Sul,Maçambará,380,8.28 %,88,1.92 %,4.207
4833,Rio Grande do Sul,Mampituba,290,9.73 %,76,2.55 %,2.691
4834,Rio Grande do Sul,Manoel Viana,1023,14.02 %,208,2.85 %,6.276
4835,Rio Grande do Sul,Maquiné,953,14.19 %,248,3.69 %,5.761
4836,Rio Grande do Sul,Maratá,625,23.23 %,120,4.46 %,2.066
4837,Rio Grande do Sul,Marau,3296,7.46 %,838,1.90 %,40.865
4838,Rio Grande do Sul,Marcelino Ramos,793,18.01 %,163,3.70 %,3.609
4839,Rio Grande do Sul,Mariana Pimentel,556,14.31 %,112,2.88 %,3.329
4840,Rio Grande do Sul,Mariano Moro,321,15.81 %,79,3.89 %,1.710
4841,Rio Grande do Sul,Marques de Souza,691,17.24 %,130,3.24 %,3.318
4842,Rio Grande do Sul,Mata,721,14.95 %,174,3.61 %,4.102
4843,Rio Grande do Sul,Mato Castelhano,352,13.86 %,83,3.27 %,2.188
4844,Rio Grande do Sul,Mato Leitão,519,11.50 %,95,2.10 %,3.996
4845,Rio Grande do Sul,Mato Queimado,324,19.66 %,59,3.58 %,1.324
4846,Rio Grande do Sul,Maximiliano de Almeida,483,11.03 %,84,1.92 %,3.894
4847,Rio Grande do Sul,Minas do Leão,669,8.28 %,153,1.89 %,7.406
4848,Rio Grande do Sul,Miraguaí,325,6.60 %,133,2.70 %,4.600
4849,Rio Grande do Sul,Montauri,285,19.61 %,62,4.27 %,1.168
4850,Rio Grande do Sul,Monte Alegre dos Campos,356,11.04 %,47,1.46 %,2.870
4851,Rio Grande do Sul,Monte Belo do Sul,490,19.23 %,109,4.28 %,2.058
4852,Rio Grande do Sul,Montenegro,4709,7.22 %,706,1.08 %,60.555
4853,Rio Grande do Sul,Mormaço,355,11.51 %,83,2.69 %,2.730
4854,Rio Grande do Sul,Morrinhos do Sul,469,15.90 %,116,3.93 %,2.480
4855,Rio Grande do Sul,Morro Redondo,720,10.96 %,203,3.09 %,5.848
4856,Rio Grande do Sul,Morro Reuter,736,11.49 %,206,3.22 %,5.671
4857,Rio Grande do Sul,Mostardas,1572,12.28 %,360,2.81 %,11.232
4858,Rio Grande do Sul,Muçum,830,16.75 %,234,4.72 %,4.124
4859,Rio Grande do Sul,Muitos Capões,339,10.72 %,39,1.23 %,2.823
4860,Rio Grande do Sul,Muliterno,190,10.04 %,49,2.59 %,1.703
4861,Rio Grande do Sul,Não-Me-Toque,2245,12.74 %,574,3.26 %,15.379
4862,Rio Grande do Sul,Nicolau Vergueiro,238,14.15 %,44,2.62 %,1.444
4863,Rio Grande do Sul,Nonoai,2000,17.10 %,734,6.28 %,9.695
4864,Rio Grande do Sul,Nova Alvorada,420,11.59 %,96,2.65 %,3.205
4865,Rio Grande do Sul,Nova Araçá,503,10.57 %,127,2.67 %,4.256
4866,Rio Grande do Sul,Nova Bassano,1262,12.73 %,304,3.07 %,8.654
4867,Rio Grande do Sul,Nova Boa Vista,293,16.51 %,90,5.07 %,1.482
4868,Rio Grande do Sul,Nova Bréscia,614,18.44 %,140,4.20 %,2.716
4869,Rio Grande do Sul,Nova Candelária,366,13.57 %,74,2.74 %,2.332
4870,Rio Grande do Sul,Nova Esperança do Sul,579,10.82 %,130,2.43 %,4.773
4871,Rio Grande do Sul,Nova Hartz,1281,5.93 %,349,1.61 %,20.334
4872,Rio Grande do Sul,Nova Pádua,477,18.68 %,87,3.41 %,2.076
4873,Rio Grande do Sul,Nova Palma,934,14.34 %,196,3.01 %,5.578
4874,Rio Grande do Sul,Nova Petrópolis,2682,12.56 %,900,4.21 %,18.671
4875,Rio Grande do Sul,Nova Prata,1409,5.17 %,160,0.59 %,25.848
4876,Rio Grande do Sul,Nova Ramada,339,15.12 %,76,3.39 %,1.903
4877,Rio Grande do Sul,Nova Roma do Sul,554,15.02 %,110,2.98 %,3.135
4878,Rio Grande do Sul,Nova Santa Rita,1724,5.88 %,510,1.74 %,27.576
4879,Rio Grande do Sul,Novo Cabrais,524,12.49 %,119,2.84 %,3.672
4880,Rio Grande do Sul,Novo Hamburgo,23872,9.67 %,7618,3.09 %,222.876
4881,Rio Grande do Sul,Novo Machado,401,12.07 %,81,2.44 %,2.922
4882,Rio Grande do Sul,Novo Tiradentes,335,15.15 %,77,3.48 %,1.876
4883,Rio Grande do Sul,Novo Xingu,276,16.06 %,62,3.61 %,1.443
4884,Rio Grande do Sul,Novo Barreiro,453,10.88 %,115,2.76 %,3.711
4885,Rio Grande do Sul,Osório,4763,10.36 %,1651,3.59 %,41.231
4886,Rio Grande do Sul,Paim Filho,641,16.75 %,149,3.89 %,3.187
4887,Rio Grande do Sul,Palmares do Sul,1275,11.27 %,355,3.14 %,10.043
4888,Rio Grande do Sul,Palmeira das Missões,4418,13.27 %,1145,3.44 %,28.885
4889,Rio Grande do Sul,Palmitinho,953,13.50 %,177,2.51 %,6.104
4890,Rio Grande do Sul,Panambi,3781,8.66 %,905,2.07 %,39.886
4891,Rio Grande do Sul,Pantano Grande,1164,12.69 %,239,2.61 %,8.010
4892,Rio Grande do Sul,Paraí,703,9.18 %,177,2.31 %,6.954
4893,Rio Grande do Sul,Paraíso do Sul,929,12.21 %,253,3.32 %,6.682
4894,Rio Grande do Sul,Pareci Novo,421,10.97 %,169,4.40 %,3.416
4895,Rio Grande do Sul,Parobé,2656,4.56 %,951,1.63 %,55.616
4896,Rio Grande do Sul,Passa Sete,549,9.63 %,144,2.53 %,5.153
4897,Rio Grande do Sul,Passo do Sobrado,531,8.13 %,115,1.76 %,6.004
4898,Rio Grande do Sul,Passo Fundo,26589,13.08 %,8845,4.35 %,176.686
4899,Rio Grande do Sul,Paulo Bento,284,12.39 %,69,3.01 %,2.009
4900,Rio Grande do Sul,Paverama,926,10.91 %,248,2.92 %,7.561
4901,Rio Grande do Sul,Pedras Altas,210,10.60 %,60,3.03 %,1.772
4902,Rio Grande do Sul,Pedro Osório,750,9.70 %,254,3.29 %,6.980
4903,Rio Grande do Sul,Pejuçara,572,14.77 %,134,3.46 %,3.302
4904,Rio Grande do Sul,Pelotas,32251,9.42 %,9899,2.89 %,310.154
4905,Rio Grande do Sul,Picada Café,759,13.22 %,158,2.75 %,4.983
4906,Rio Grande do Sul,Pinhal,335,12.99 %,88,3.41 %,2.244
4907,Rio Grande do Sul,Pinhal da Serra,180,9.27 %,65,3.35 %,1.761
4908,Rio Grande do Sul,Pinhal Grande,583,13.40 %,133,3.06 %,3.767
4909,Rio Grande do Sul,Pinheirinho do Vale,565,11.60 %,79,1.62 %,4.306
4910,Rio Grande do Sul,Pinheiro Machado,1699,13.85 %,330,2.69 %,10.572
4911,Rio Grande do Sul,Pinto Bandeira,489,16.28 %,117,3.90 %,2.514
4912,Rio Grande do Sul,Pirapó,449,19.49 %,78,3.39 %,1.855
4913,Rio Grande do Sul,Piratini,1815,8.78 %,269,1.30 %,18.848
4914,Rio Grande do Sul,Planalto,1516,15.03 %,521,5.17 %,8.568
4915,Rio Grande do Sul,Poço das Antas,364,17.35 %,71,3.38 %,1.734
4916,Rio Grande do Sul,Pontão,453,11.60 %,66,1.69 %,3.451
4917,Rio Grande do Sul,Ponte Preta,301,19.46 %,62,4.01 %,1.246
4918,Rio Grande do Sul,Portão,3466,9.35 %,725,1.96 %,33.613
4919,Rio Grande do Sul,Porto Alegre,167044,11.26 %,60127,4.05 %,1.316.727
4920,Rio Grande do Sul,Porto Lucena,887,18.96 %,155,3.31 %,3.791
4921,Rio Grande do Sul,Porto Mauá,410,17.27 %,92,3.88 %,1.964
4922,Rio Grande do Sul,Porto Vera Cruz,230,16.91 %,47,3.46 %,1.130
4923,Rio Grande do Sul,Porto Xavier,977,9.54 %,182,1.78 %,9.269
4924,Rio Grande do Sul,Pouso Novo,189,11.53 %,58,3.54 %,1.450
4925,Rio Grande do Sul,Presidente Lucena,277,9.55 %,86,2.96 %,2.624
4926,Rio Grande do Sul,Progresso,822,13.16 %,184,2.95 %,5.422
4927,Rio Grande do Sul,Protásio Alves,320,16.44 %,59,3.03 %,1.627
4928,Rio Grande do Sul,Putinga,645,16.46 %,133,3.39 %,3.274
4929,Rio Grande do Sul,Quaraí,2358,10.39 %,641,2.83 %,20.329
4930,Rio Grande do Sul,Quatro Irmãos,209,11.30 %,61,3.30 %,1.640
4931,Rio Grande do Sul,Quevedos,280,10.04 %,43,1.54 %,2.508
4932,Rio Grande do Sul,Quinze de Novembro,591,15.57 %,126,3.32 %,3.205
4933,Rio Grande do Sul,Redentora,2271,19.66 %,1082,9.37 %,9.278
4934,Rio Grande do Sul,Relvado,420,20.10 %,93,4.45 %,1.670
4935,Rio Grande do Sul,Restinga Seca,1913,12.12 %,456,2.89 %,13.876
4936,Rio Grande do Sul,Rio dos Índios,315,11.45 %,72,2.62 %,2.437
4937,Rio Grande do Sul,Rio Grande,12945,6.13 %,2141,1.01 %,198.060
4938,Rio Grande do Sul,Rio Pardo,4272,11.16 %,1156,3.02 %,34.003
4939,Rio Grande do Sul,Riozinho,376,8.08 %,151,3.25 %,4.277
4940,Rio Grande do Sul,Roca Sales,1033,9.07 %,305,2.68 %,10.360
4941,Rio Grande do Sul,Rodeio Bonito,770,13.12 %,189,3.22 %,5.097
4942,Rio Grande do Sul,Rolador,382,16.44 %,69,2.97 %,1.941
4943,Rio Grande do Sul,Rolante,1801,8.44 %,534,2.50 %,19.548
4944,Rio Grande do Sul,Ronda Alta,1783,16.82 %,751,7.08 %,8.818
4945,Rio Grande do Sul,Rondinha,939,18.30 %,242,4.72 %,4.191
4946,Rio Grande do Sul,Roque Gonzales,864,12.62 %,144,2.10 %,5.983
4947,Rio Grande do Sul,Rosário do Sul,3038,7.71 %,930,2.36 %,36.384
4948,Rio Grande do Sul,Sagrada Família,392,15.02 %,77,2.95 %,2.217
4949,Rio Grande do Sul,Saldanha Marinho,519,19.58 %,125,4.72 %,2.131
4950,Rio Grande do Sul,Salto do Jacuí,1361,10.93 %,503,4.04 %,11.088
4951,Rio Grande do Sul,Salvador das Missões,421,15.40 %,76,2.78 %,2.312
4952,Rio Grande do Sul,Salvador do Sul,726,9.31 %,242,3.10 %,7.073
4953,Rio Grande do Sul,Sananduva,2293,14.09 %,441,2.71 %,13.977
4954,Rio Grande do Sul,Santa Bárbara do Sul,1020,12.76 %,247,3.09 %,6.974
4955,Rio Grande do Sul,Santa Cecília do Sul,234,14.28 %,44,2.68 %,1.405
4956,Rio Grande do Sul,Santa Clara do Sul,964,14.60 %,252,3.82 %,5.639
4957,Rio Grande do Sul,Santa Cruz do Sul,13682,10.49 %,4414,3.38 %,116.734
4958,Rio Grande do Sul,Santa Maria,5204,1.84 %,1558,0.55 %,276.919
4959,Rio Grande do Sul,Santa Maria do Herval,787,12.43 %,234,3.70 %,5.544
4960,Rio Grande do Sul,Santa Margarida do Sul,370,14.44 %,74,2.89 %,2.192
4961,Rio Grande do Sul,Santana da Boa Vista,693,8.56 %,169,2.09 %,7.405
4962,Rio Grande do Sul,Sant'Ana do Livramento,10297,13.37 %,2191,2.84 %,66.730
4963,Rio Grande do Sul,Santa Rosa,7969,10.88 %,1680,2.29 %,65.285
4964,Rio Grande do Sul,Santa Tereza,402,23.25 %,90,5.21 %,1.327
4965,Rio Grande do Sul,Santa Vitória do Palmar,2628,8.86 %,531,1.79 %,27.048
4966,Rio Grande do Sul,Santiago,6998,14.16 %,1708,3.46 %,42.427
4967,Rio Grande do Sul,Santo Ângelo,3353,4.32 %,337,0.43 %,74.240
4968,Rio Grande do Sul,Santo Antônio do Palma,274,12.88 %,74,3.48 %,1.854
4969,Rio Grande do Sul,Santo Antônio da Patrulha,5571,12.99 %,1574,3.67 %,37.323
4970,Rio Grande do Sul,Santo Antônio das Missões,1415,13.91 %,273,2.68 %,8.760
4971,Rio Grande do Sul,Santo Antônio do Planalto,302,14.96 %,77,3.81 %,1.717
4972,Rio Grande do Sul,Santo Augusto,1734,12.49 %,339,2.44 %,12.151
4973,Rio Grande do Sul,Santo Cristo,1701,11.93 %,380,2.67 %,12.556
4974,Rio Grande do Sul,Santo Expedito do Sul,430,18.50 %,70,3.01 %,1.894
4975,Rio Grande do Sul,São Borja,6827,11.33 %,1620,2.69 %,53.455
4976,Rio Grande do Sul,São Domingos do Sul,572,18.61 %,131,4.26 %,2.502
4977,Rio Grande do Sul,São Francisco de Assis,2119,11.56 %,405,2.21 %,16.216
4978,Rio Grande do Sul,São Francisco de Paula,1919,8.84 %,464,2.14 %,19.791
4979,Rio Grande do Sul,São Gabriel,7416,11.94 %,1686,2.71 %,54.689
4980,Rio Grande do Sul,São Jerônimo,2655,10.95 %,852,3.51 %,21.593
4981,Rio Grande do Sul,São João da Urtiga,754,16.19 %,157,3.37 %,3.903
4982,Rio Grande do Sul,São João do Polêsine,625,24.49 %,200,7.84 %,1.927
4983,Rio Grande do Sul,São Jorge,409,14.48 %,76,2.69 %,2.415
4984,Rio Grande do Sul,São José das Missões,294,11.59 %,62,2.44 %,2.243
4985,Rio Grande do Sul,São José do Herval,211,10.71 %,64,3.25 %,1.760
4986,Rio Grande do Sul,São José do Hortêncio,408,8.49 %,122,2.54 %,4.396
